date,Home,Away
Saturday 30th December,Newcastle United,Tottenham Hotspur
Saturday 30th December,Nottingham Forest,Wolverhampton Wanderers
Saturday 30th December,West Ham United,Fulham
Saturday 30th December,Aston Villa,Bournemouth
Saturday 30th December,Brighton and Hove Albion,Chelsea
Saturday 30th December,Crystal Palace,West Ham United
Saturday 30th December,Everton,Nottingham Forest
Saturday 30th December,Fulham,Liverpool
Saturday 30th December,Luton Town,Brentford
Saturday 30th December,Manchester United,Newcastle United
Saturday 30th December,Sheffield United,Burnley
Saturday 30th December,Tottenham Hotspur,Manchester City
Saturday 30th December,Wolverhampton Wanderers,Arsenal
Saturday 30th December,Aston Villa,Chelsea
Saturday 30th December,Bournemouth,Brighton and Hove Albion
Saturday 30th December,Everton,Brentford
Saturday 30th December,Fulham,Crystal Palace
Saturday 30th December,Manchester United,Burnley
Saturday 30th December,Newcastle United,Sheffield United
Saturday 30th December,Nottingham Forest,Manchester City
Saturday 30th December,Tottenham Hotspur,Arsenal
Saturday 30th December,West Ham United,Liverpool
Saturday 30th December,Wolverhampton Wanderers,Luton Town
Saturday 30th December,Arsenal,Bournemouth
Saturday 30th December,Brentford,Fulham
Saturday 30th December,Brighton and Hove Albion,Aston Villa
Saturday 30th December,Burnley,Newcastle United
Saturday 30th December,Chelsea,West Ham United
Saturday 30th December,Crystal Palace,Manchester United
Saturday 30th December,Liverpool,Tottenham Hotspur
Saturday 30th December,Luton Town,Everton
Saturday 30th December,Manchester City,Wolverhampton Wanderers
Saturday 30th December,Sheffield United,Nottingham Forest
Saturday 30th December,Aston Villa,Liverpool
Saturday 30th December,Bournemouth,Brentford
Saturday 30th December,Everton,Sheffield United
Saturday 30th December,Fulham,Manchester City
Saturday 30th December,Manchester United,Arsenal
Saturday 30th December,Newcastle United,Brighton and Hove Albion
Saturday 30th December,Nottingham Forest,Chelsea
Saturday 30th December,Tottenham Hotspur,Burnley
Saturday 30th December,West Ham United,Luton Town
Saturday 30th December,Wolverhampton Wanderers,Crystal Palace
Saturday 30th December,Bournemouth,Luton Town
Saturday 30th December,Arsenal,Everton
Saturday 30th December,Brentford,Newcastle United
Saturday 30th December,Brighton and Hove Albion,Manchester United
Saturday 30th December,Burnley,Nottingham Forest
Saturday 30th December,Chelsea,Bournemouth
Saturday 30th December,Crystal Palace,Aston Villa
Saturday 30th December,Liverpool,Wolverhampton Wanderers
Saturday 30th December,Luton Town,Fulham
Saturday 30th December,Manchester City,West Ham United
Saturday 30th December,Sheffield United,Tottenham Hotspur
